year,location,block,variety,stand_pct,days_to_heading_julian,height,lodging,yield_bu_a,test_weight,range,row
2015,RT,4,LCS Drive,100,142,32,0,153.186,53.8,10,9
2015,RT,4,UI Castle CLP,100,141,40,0,122.2584,56.4,10,10
2015,RT,4,SY  Ovation,100,142,38,0,149.9916,56.4,10,11
2015,RT,4,OR2100940,100,142,35,0,130.2444,53.6,10,12
2015,RT,4,Stephens,100,142,36,0,124.7268,53.6,10,13
2015,RT,4,Brundage,100,141,36,0,141.1344,57.2,10,14
2015,RT,4,Bobtail,100,146,38,0,158.994,54.7,11,1
2015,RT,4,UI-WSU Huffman,100,148,38,0,132.858,55.8,11,2
2015,RT,4,WB 528,100,139,40,0,155.6544,57.5,11,3
2015,RT,4,UI Magic CLP,100,147,39,0,153.7668,56.1,11,4
2015,RT,4,WB1529,100,143,35,0,152.6052,57.2,11,5
2015,RT,4,Norwest Tandem,100,144,33,0,128.0664,54.1,11,6
2015,RT,4,LCS Biancor,100,146,36,0,154.2024,55.8,11,7
2015,RT,4,OR2080641,100,146,36,0,145.2,56.1,11,8
2015,RT,4,Eltan,100,147,41,0,133.584,55.5,11,9
2015,RT,4,DAS004,100,148,38,0,107.5932,54.7,11,10
2015,RT,4,UI Sparrow,100,151,43,0,142.296,55.3,11,11
2015,RT,4,LOR-913,100,141,39,0,122.8392,52.4,11,12
2015,RT,4,Jasper,100,147,40,0,125.598,53.3,11,13
2015,RT,4,OR2090473,100,143,38,0,119.6448,50.5,11,14
2015,RT,4,Rosalyn,100,146,35,0,164.6568,58.1,12,1
2015,RT,4,Madsen / Eltan (50/50),97,150,41,0,124.146,58.6,12,2
2015,RT,4,SY 107,100,145,40,0,154.9284,57,12,3
2015,RT,4,Madsen,100,149,44,0,140.118,58.6,12,4
2015,RT,4,UI Palouse,100,147,43,0,147.8136,56.7,12,5
2015,RT,4,IDO1004,100,139,35,0,141.2796,56.7,12,6
2015,RT,4,06-03303B,100,146,39,0,146.652,56.4,12,7
2015,RT,4,LOR-978,100,144,33,0,122.8392,57,12,8
2015,RT,4,LOR-833,100,134,30,0,134.7456,55.8,12,9
2015,RT,4,OR2080637,97,148,33,0,108.4644,56.4,12,10
2015,RT,4,LCS Artdeco,100,136,32,0,138.2304,52.2,12,11
2015,RT,4,IDN-01-10704A,100,144,40,0,126.0336,56.4,12,12
2015,RT,4,IDN-02-29001A,100,144,40,0,131.9868,57.2,12,13
2015,RT,4,Kaseberg,100,145,39,0,126.9048,54.4,12,14
2016,AB,4,Norwest Duet,95,155,49,50,156.1290323,60.3,1,1
2016,AB,4,IDN06-18102A,95,151,41,25,138.9548387,59.2,1,2
2016,AB,4,WB1376CLP ,95,148,45,0,143.4825806,63.4,1,3
2016,AB,4,UI Magic,90,148,40,0,108.0412903,59.5,1,4
2016,AB,4,SY  Ovation,95,149,42,0,151.6012903,60.3,1,5
2016,AB,4,BZ6W09-489,95,148,43,55,122.0929032,60.6,1,6
2016,AB,4,Madsen,95,148,43,50,88.99354839,59.5,1,7
2016,AB,4,WB 456,95,146,42,20,120.843871,62,1,8
2016,AB,4,WB-528,95,148,43,65,125.5277419,61.7,1,9
2016,AB,4,IDN07-28017B,95,149,45,0,139.4232258,62.3,1,10
2016,AB,4,Jasper,90,153,42,2,138.0180645,59.2,1,11
2016,AB,4,WA8206,95,154,42,2,128.3380645,58.4,1,12
2016,AB,4,LCS Biancor,95,149,38,0,125.996129,61.2,2,1
2016,AB,4,UI Sparrow,90,155,46,75,141.2967742,58.4,2,2
2016,AB,4,UI Castle ,98,153,43,85,118.3458065,60.6,2,3
2016,AB,4,LCS Artdeco,98,148,41,20,120.6877419,58.6,2,4
2016,AB,4,Bruneau,90,155,43,75,99.76645161,59.5,2,5
2016,AB,4,Brundage,95,148,44,0,51.52258065,55.5,2,6
2016,AB,4,SY Assure,95,146,40,70,150.196129,62.6,2,7
2016,AB,4,UI-WSU Huffman,90,154,44,75,115.0670968,58.4,2,8
2016,AB,4,IDN06-03303B,90,152,42,80,119.5948387,58.6,2,9
2016,AB,4,Bobtail,95,152,42,70,111.9445161,.,2,10
2016,AB,4,IDN-01-10704A,90,152,47,50,140.203871,60.6,2,11
2016,AB,4,LCS Hulk,95,149,42,0,174.396129,62.3,2,12
2016,AB,4,LOR-833,100,147,43,0,160.3445161,62.6,3,1
2016,AB,4,LCS Drive,98,147,39,0,170.4929032,60.6,3,2
2016,AB,4,OR2110526,90,148,41,50,121.156129,61.2,3,3
2016,AB,4,WB1529 ,90,149,41,60,130.836129,62.9,3,4
2016,AB,4,UI Palouse,90,151,45,0,138.6425806,60.6,3,5
2016,AB,4,WB1783,95,149,46,10,178.923871,63.7,3,6
2016,AB,4,IDN-02-29001A,98,149,47,20,145.9806452,62.3,3,7
2016,AB,4,Stephens,95,149,43,20,116.9406452,60.9,3,8
2016,AB,4,LOR-913,100,148,45,10,152.0696774,62,3,9
2016,AB,4,WA8232,95,152,41,90,162.6864516,63.4,3,10
