site,block,variety,yield
site_8,3,variety_38,1239.431582
site_9,1,variety_26,1241.881847
site_3,2,variety_15,1242.304923
site_9,2,variety_9,1244.593379
site_9,1,variety_6,1245.949145
site_9,1,variety_14,1247.304911
site_8,4,variety_37,1248.434717
site_5,1,variety_35,1256.117392
site_5,1,variety_4,1258.998395
site_3,2,variety_16,1259.468346
site_8,4,variety_34,1260.438897
site_9,3,variety_31,1260.862574
site_3,1,variety_25,1261.920264
site_3,4,variety_9,1266.163967
site_1,4,variety_21,1268.997171
site_9,1,variety_12,1268.997171
site_8,1,variety_2,1269.442032
site_9,2,variety_11,1274.420236
site_5,1,variety_24,1280.605919
site_3,1,variety_17,1282.35291
site_3,3,variety_5,1283.170216
site_5,1,variety_3,1284.927424
site_4,3,variety_1,1285.266365
site_9,1,variety_10,1285.266365
site_3,3,variety_30,1285.622134
site_3,1,variety_8,1285.622134
site_3,2,variety_37,1287.256745
site_8,3,variety_1,1287.448302
site_3,3,variety_34,1290.525969
site_9,3,variety_18,1290.68943
site_4,1,variety_2,1292.045196
site_9,3,variety_15,1300.179794
site_5,1,variety_23,1300.772941
site_8,2,variety_1,1300.953004
site_4,3,variety_21,1301.53556
site_8,4,variety_38,1305.454572
site_4,1,variety_5,1311.025923
site_8,4,variety_13,1311.456661
site_3,2,variety_24,1311.775922
site_3,1,variety_19,1315.045145
site_1,2,variety_34,1316.448988
site_9,2,variety_27,1321.872053
site_5,2,variety_4,1325.261468
site_3,2,variety_33,1327.304733
site_8,4,variety_5,1327.962409
site_2,4,variety_38,1328.650884
site_9,3,variety_35,1330.00665
site_9,2,variety_25,1332.718183
site_8,4,variety_16,1335.465021
site_8,2,variety_34,1335.465021
site_8,2,variety_36,1335.465021
site_3,2,variety_19,1335.477792
site_3,4,variety_30,1337.112404
site_8,3,variety_16,1339.966589
site_9,1,variety_28,1340.85278
site_8,3,variety_35,1344.468156
site_8,4,variety_6,1344.468156
site_4,1,variety_35,1346.275845
site_1,3,variety_34,1348.987377
site_3,1,variety_5,1350.189297
site_8,4,variety_35,1351.970769
site_4,2,variety_34,1354.410442
site_1,4,variety_3,1355.766208
site_4,1,variety_1,1355.766208
site_9,1,variety_19,1355.766208
site_5,3,variety_2,1356.952504
site_5,4,variety_36,1356.952504
site_3,1,variety_37,1357.54505
site_3,3,variety_8,1357.54505
site_3,3,variety_9,1359.179662
site_9,4,variety_17,1359.833507
site_9,3,variety_20,1359.833507
site_3,4,variety_19,1360.814274
site_8,3,variety_23,1360.973904
site_5,3,variety_5,1361.274008
site_4,4,variety_34,1362.545039
site_5,1,variety_36,1362.71451
site_3,2,variety_3,1363.266191
site_9,4,variety_37,1365.256572
site_9,2,variety_9,1372.035403
site_1,2,variety_21,1373.391169
site_9,2,variety_37,1380.17
site_4,1,variety_34,1382.881532
site_8,4,variety_23,1383.481741
site_9,4,variety_19,1384.237299
site_3,2,variety_5,1387.785368
